[2026-09-20 20:14:06] status=ago
[2026-09-21 03:09:40] UP jobs=2 s3_progress=done gpu=[100 %, 23680 MiB 59G [2026-09-20 20:45:23] tap-dump exit 0; final s3 sync done ]
[2026-09-21 03:22:01] UP jobs=2 s3_progress=done gpu=[100 %, 23680 MiB 59G [2026-09-20 20:45:23] tap-dump exit 0; final s3 sync done ]
[2026-09-21 03:34:23] UP jobs=2 s3_progress=done gpu=[99 %, 23680 MiB 59G [2026-09-20 20:45:23] tap-dump exit 0; final s3 sync done ]
[2026-09-21 03:46:45] UP jobs=2 s3_progress=done gpu=[100 %, 23680 MiB 59G [2026-09-20 20:45:23] tap-dump exit 0; final s3 sync done ]
[2026-09-21 03:59:07] UP jobs=2 s3_progress=done gpu=[96 %, 23680 MiB 59G [2026-09-20 20:45:23] tap-dump exit 0; final s3 sync done ]
[2026-09-21 04:11:22] UP jobs=2 s3_progress=done gpu=[0 %, 23680 MiB 55G [2026-09-20 20:45:23] tap-dump exit 0; final s3 sync done ]
[2026-09-21 04:23:44] UP jobs=2 s3_progress=done gpu=[7 %, 23680 MiB 59G [2026-09-20 20:45:23] tap-dump exit 0; final s3 sync done ]
[2026-09-21 04:36:06] UP jobs=2 s3_progress=done gpu=[0 %, 23680 MiB 59G [2026-09-20 20:45:23] tap-dump exit 0; final s3 sync done ]
[2026-09-21 04:48:28] UP jobs=2 s3_progress=done gpu=[100 %, 23680 MiB 59G [2026-09-20 20:45:23] tap-dump exit 0; final s3 sync done ]
[2026-09-21 05:00:46] UP jobs=2 s3_progress=done gpu=[99 %, 23680 MiB 59G [2026-09-20 20:45:23] tap-dump exit 0; final s3 sync done ]
[2026-09-21 05:13:08] UP jobs=2 s3_progress=done gpu=[99 %, 23680 MiB 59G [2026-09-20 20:45:23] tap-dump exit 0; final s3 sync done ]
[2026-09-21 05:25:30] UP jobs=2 s3_progress=done gpu=[100 %, 23680 MiB 59G [2026-09-20 20:45:23] tap-dump exit 0; final s3 sync done ]
[2026-09-21 05:37:53] UP jobs=2 s3_progress=done gpu=[99 %, 23680 MiB 59G [2026-09-20 20:45:23] tap-dump exit 0; final s3 sync done ]
[2026-09-21 05:50:12] UP jobs=2 s3_progress=done gpu=[97 %, 23680 MiB 59G [2026-09-20 20:45:23] tap-dump exit 0; final s3 sync done ]
[2026-09-21 06:02:34] UP jobs=2 s3_progress=done gpu=[0 %, 23680 MiB 59G [2026-09-20 20:45:23] tap-dump exit 0; final s3 sync done ]
[2026-09-21 06:14:57] UP jobs=2 s3_progress=done gpu=[99 %, 23680 MiB 59G [2026-09-20 20:45:23] tap-dump exit 0; final s3 sync done ]
[2026-09-21 06:27:19] UP jobs=2 s3_progress=done gpu=[99 %, 23680 MiB 59G [2026-09-20 20:45:23] tap-dump exit 0; final s3 sync done ]
[2026-09-21 06:39:41] UP jobs=2 s3_progress=done gpu=[100 %, 23680 MiB 59G [2026-09-20 20:45:23] tap-dump exit 0; final s3 sync done ]
[2026-09-21 06:52:02] UP jobs=2 s3_progress=done gpu=[99 %, 23680 MiB 59G [2026-09-20 20:45:23] tap-dump exit 0; final s3 sync done ]
[2026-09-21 07:04:24] UP jobs=2 s3_progress=done gpu=[0 %, 0 MiB 55G [2026-09-20 20:45:23] tap-dump exit 0; final s3 sync done ]
[2026-09-21 07:16:46] UP jobs=1 s3_progress=done gpu=[100 %, 23860 MiB 52G [2026-09-20 20:45:23] tap-dump exit 0; final s3 sync done ]
[2026-09-21 07:28:59] UP jobs=1 s3_progress=done gpu=[99 %, 23860 MiB 52G [2026-09-20 20:45:23] tap-dump exit 0; final s3 sync done ]
[2026-09-21 07:41:21] UP jobs=1 s3_progress=done gpu=[99 %, 23860 MiB 52G [2026-09-20 20:45:23] tap-dump exit 0; final s3 sync done ]
[2026-09-21 07:53:42] UP jobs=1 s3_progress=done gpu=[97 %, 23860 MiB 52G [2026-09-20 20:45:23] tap-dump exit 0; final s3 sync done ]
[2026-09-21 08:06:04] UP jobs=1 s3_progress=done gpu=[98 %, 23860 MiB 52G [2026-09-20 20:45:23] tap-dump exit 0; final s3 sync done ]
[2026-09-21 08:18:19] UP jobs=1 s3_progress=done gpu=[0 %, 23860 MiB 52G [2026-09-20 20:45:23] tap-dump exit 0; final s3 sync done ]
[2026-09-21 08:30:41] UP jobs=1 s3_progress=done gpu=[99 %, 23860 MiB 52G [2026-09-20 20:45:23] tap-dump exit 0; final s3 sync done ]
[2026-09-21 08:43:03] UP jobs=1 s3_progress=done gpu=[99 %, 23860 MiB 52G [2026-09-20 20:45:23] tap-dump exit 0; final s3 sync done ]
[2026-09-21 08:55:25] UP jobs=1 s3_progress=done gpu=[99 %, 23860 MiB 52G [2026-09-20 20:45:23] tap-dump exit 0; final s3 sync done ]
[2026-09-21 09:07:42] UP jobs=1 s3_progress=done gpu=[100 %, 23860 MiB 52G [2026-09-20 20:45:23] tap-dump exit 0; final s3 sync done ]
[2026-09-21 09:20:03] UP jobs=1 s3_progress=done gpu=[100 %, 23860 MiB 52G [2026-09-20 20:45:23] tap-dump exit 0; final s3 sync done ]
[2026-09-21 09:26:42] nightwatch stopped by operator: queue drained, box downed explicitly
